CPV4  , Pico                        , Cabo Verde         , Grupo H, Comum
BRA7  , Danilo                      , Brasil             , Grupo C, Comum
MEX18 , Alexis Vega                 , Mexico             , Grupo A, Comum
TUN16 , Elias Saad                  , Tunisia            , Grupo F, Comum
JOR14 , Amer Jamous                 , Jordania           , Grupo J, Comum
SCO16 , Kenny McLean                , Escocia            , Grupo C, Comum
ENG7  , Reece James                 , Inglaterra         , Grupo L, Comum
KOR13 , Foto da Equipe              , Coreia do Sul      , Grupo A, Comum
JPN10 , Ao Tanaka                   , Japao              , Grupo F, Comum
JOR2  , Yazeed Abulaila             , Jordania           , Grupo J, Comum
COD3  , Aaron Wan-Bissaka           , RD Congo           , Grupo K, Comum
RSA8  , Siyabonga Ngezana           , Africa do Sul      , Grupo A, Comum
AUT11 , Marcel Sabitzer             , Austria            , Grupo J, Comum
JPN20 , Ayase Ueda                  , Japao              , Grupo F, Comum
CUW4  , Sherel Floranus             , Curacao            , Grupo E, Comum
USA7  , Antonee Robinson            , Estados Unidos     , Grupo D, Comum
CUW1  , Escudo                      , Curacao            , Grupo E, Especial
JOR7  , Saleem Obaid                , Jordania           , Grupo J, Comum
COD17 , Brian Cipenga               , RD Congo           , Grupo K, Comum
ESP12 , Fabian Ruiz                 , Espanha            , Grupo H, Comum
SUI9  , Granit Xhaka                , Suica              , Grupo B, Comum
COL8  , Jhon Lucumi                 , Colombia           , Grupo K, Comum
NED10 , Tijjani Reijnders           , Holanda            , Grupo F, Comum
NED3  , Virgil Van Dijk             , Holanda            , Grupo F, Comum
CIV11 , Seko Fofana                 , Costa do Marfim    , Grupo E, Comum
CZE3  , Jindrich Stanek             , Republica Tcheca   , Grupo A, Comum
AUT4  , David Alaba                 , Austria            , Grupo J, Comum
BIH8  , Amir Hadziahmetovic         , Bosnia             , Grupo B, Comum
AUT10 , Xavier Schlager             , Austria            , Grupo J, Comum
COL3  , David Ospina                , Colombia           , Grupo K, Comum
SEN3  , Yehvann Diouf               , Senegal            , Grupo I, Comum
PAN19 , Jose Luiz Rodriguez         , Panama             , Grupo L, Comum
IRN10 , Saleh Hardani               , Ira                , Grupo G, Comum
FRA8  , Lucas Digne                 , Franca             , Grupo I, Comum
SCO14 , Lewis Ferguson              , Escocia            , Grupo C, Comum
SWE17 , Dejan Kulusevski            , Suecia             , Grupo F, Comum
COL12 , Richard Rios                , Colombia           , Grupo K, Comum
IRQ3  , Rebin Sulaka                , Iraque             , Grupo I, Comum
ARG14 , Nico Paz                    , Argentina          , Grupo J, Comum
ENG2  , Jordan Pickford             , Inglaterra         , Grupo L, Comum
SCO20 , Ben Gannon-Doak             , Escocia            , Grupo C, Comum
CIV5  , Odilon Kossounou            , Costa do Marfim    , Grupo E, Comum
NED18 , Donyell Malen               , Holanda            , Grupo F, Comum
FRA19 , Hugo Ekitike                , Franca             , Grupo I, Comum
ARG5  , Nicolas Otamendi            , Argentina          , Grupo J, Comum
ECU16 , Gonzalo Plata               , Equador            , Grupo E, Comum
ARG11 , Exequiel Palacios           , Argentina          , Grupo J, Comum
ALG14 , Fares Chaibi                , Argelia            , Grupo J, Comum
MEX7  , Israel Reyes                , Mexico             , Grupo A, Comum
CZE12 , Tomas Soucek                , Republica Tcheca   , Grupo A, Comum
SEN1  , Escudo                      , Senegal            , Grupo I, Especial
JPN17 , Shuto Machino               , Japao              , Grupo F, Comum
BEL14 , Hans Vanaken                , Belgica            , Grupo G, Comum
SCO3  , Jack Hendry                 , Escocia            , Grupo C, Comum
SEN11 , Pape Gueye                  , Senegal            , Grupo I, Comum
AUS17 , Craig Goodwin               , Australia          , Grupo D, Comum
EGY2  , Mohamed El Shenawy          , Egito              , Grupo G, Comum
MAR6  , Nayef Aguerd                , Marrocos           , Grupo C, Comum
BIH6  , Nihad Mujakic               , Bosnia             , Grupo B, Comum
NED5  , Jurien Timber               , Holanda            , Grupo F, Comum
USA17 , Brenden Aaronson            , Estados Unidos     , Grupo D, Comum
QAT6  , Boualem Khoukhi             , Qatar              , Grupo B, Comum
NOR7  , David Mller Wolfe           , Noruega            , Grupo I, Comum
EGY10 , Marwan Attia                , Egito              , Grupo G, Comum
KSA18 , Feras Akbrikan              , Arabia Saudita     , Grupo H, Comum
